	Tr1: BatfKO v Control	Tr1: BatfKO v Irf1KO	Tr1: Irf1KO v Control
1700019L03Rik	-0.025294553	0.277118293	-0.302412846
1700019N12Rik	0	0	0
1700019N19Rik	0	0	0
1700019O17Rik	0.152591934	0.137654639	0.014937295
1700020A23Rik	0	0	0
1700020C07Rik	0	0	0
1700020D05Rik	0.022697327	-0.148442318	0.171139645
1700020I14Rik	0.185622115	0.347696273	-0.162074158
1700020L24Rik	-0.459736678	-0.577934402	0.118197724
1700020N01Rik	0	0	0
1700020N18Rik	0.004295305	0.090286054	-0.085990749
1700020O03Rik	0	0	0
1700021C14Rik	0	0	0
1700021F05Rik	0.689674544	0.343811204	0.34586334
1700021K19Rik	-0.168001484	-0.28347574	0.115474256
1700022A21Rik	0	0	0
1700022I11Rik	0	0	0
1700022P22Rik	0	0	0
1700023A16Rik	0	0	0
1700023C21Rik	0.017833559	-0.117626541	0.1354601
1700023E05Rik	0	0	0
1700023F06Rik	0.024596175	-0.164130954	0.188727129
1700023I07Rik	0	0	0
1700023L04Rik	0.073088758	-0.205647172	0.27873593
1700024F13Rik	0.113194455	0.173891972	-0.060697517
1700024P04Rik	0.020386143	0.048993799	-0.028607656
1700024P16Rik	-0.115525697	0.004606292	-0.120131989
1700025C18Rik	0	0	0
1700025E21Rik	0	0	0
1700025F22Rik	0	0	0
1700025G04Rik	-0.121849696	-0.226664998	0.104815303
1700025K23Rik	0	0	0
1700025M24Rik	0.017833559	-0.117626541	0.1354601
1700026D08Rik	0	0	0
1700026D11Rik	0	0	0
1700026J04Rik	0	0	0
1700026L06Rik	0.12437566	0.051734494	0.072641166
1700027A23Rik	0	0	0
1700027D21Rik	0	0	0
1700027J07Rik	-0.049283467	-0.066077103	0.016793636
1700028B04Rik	-0.087177543	0.001443079	-0.088620622
1700028E10Rik	-0.362636267	-0.235257161	-0.127379106
1700028I16Rik	-0.116492789	-0.112549186	-0.003943602
1700028J19Rik	0.048393446	-0.17434541	0.222738856
1700028K03Rik	0.017833559	-0.117626541	0.1354601
1700029F09Rik	0	0	0
1700029F12Rik	0.143529895	0.126978759	0.016551136
1700029G01Rik	0	0	0
1700029H14Rik	0	0	0
1700029I01Rik	0	0	0
1700029I15Rik	0.152591934	0.137654639	0.014937295
1700029J07Rik	-0.114025483	-0.376495223	0.26246974
1700029J11Rik	0	0	0
1700029P11Rik	-0.122365911	-0.024741911	-0.097624
1700030A11Rik	-0.005221636	-0.205720322	0.200498686
1700030C10Rik	-0.123866479	-0.038731361	-0.085135118
1700030J22Rik	0.083080434	-0.100258195	0.183338629
1700030K09Rik	0.455755365	0.093194966	0.362560399
1700031F05Rik	0	0	0
1700034F02Rik	0	0	0
1700034H14Rik	0	0	0
1700034H15Rik	0.108135667	0.01679187	0.091343797
1700034I23Rik	-0.051996409	-0.093987467	0.041991058
1700034J05Rik	0.015348202	-0.103254199	0.118602401
1700034O15Rik	0	0	0
1700034P13Rik	0.064024131	0.130880648	-0.066856517
1700037C18Rik	0.021889994	-0.035955578	0.057845572
1700037H04Rik	0.14532571	-0.062161638	0.207487348
1700039E15Rik	0	0	0
1700040I03Rik	0	0	0
1700040L02Rik	0.011699256	-0.013067261	0.024766518
1700042O10Rik	0.002900949	-0.535495565	0.538396514
1700044K03Rik	0	0	0
1700045I19Rik	0	0	0
1700047M11Rik	0	0	0
1700048O20Rik	-0.069916303	-0.19991327	0.129996967
1700049G17Rik	0.044356659	-0.224673435	0.269030094
1700049L16Rik	0	0	0
1700052I22Rik	0	0	0
1700052K11Rik	0.290357545	0.236675345	0.053682199
1700052N19Rik	0.376829892	0.352850384	0.023979508
1700054A03Rik	-0.115525697	0.004606292	-0.120131989
1700054N08Rik	0	0	0
1700054O13Rik	0	0	0
1700056E22Rik	0.44878736	0.427251914	0.021535447
1700057G04Rik	0	0	0
1700057K13Rik	0	0	0
1700058G18Rik	0	0	0
1700061G19Rik	-0.022053278	-0.115078314	0.093025036
1700061I17Rik	0	0	0
1700061J05Rik	0	0	0
1700064M15Rik	-0.087177543	0.001443079	-0.088620622
1700065D16Rik	-0.170958351	0.018329487	-0.189287838
1700065I17Rik	0	0	0
1700066B19Rik	-0.090188162	0.262227933	-0.352416095
1700066M21Rik	0.12374214	-0.466394904	0.590137044
1700067K01Rik	0.066129076	0.11381982	-0.047690744
1700067P10Rik	0	0	0
1700071K01Rik	0.051242497	-0.026733284	0.077975782
1700073E17Rik	-0.00859478	0.042299516	-0.050894296
1700074P13Rik	0	0	0
1700080E11Rik	0	0	0
1700081L11Rik	0	0	0
1700084C01Rik	0	0	0
1700084E18Rik	-0.692297788	-0.493717624	-0.198580164
1700084J12Rik	0.143529895	0.126978759	0.016551136
1700086L19Rik	0	0	0
1700086O06Rik	0.103967735	0.204007135	-0.100039399
1700088E04Rik	0.017833559	-0.117626541	0.1354601
1700090G07Rik	0	0	0
1700092M07Rik	0.132997953	-0.062967083	0.195965036
1700093K21Rik	0	0	0
1700094D03Rik	0.117386875	-0.548295079	0.665681954
1700096J18Rik	0	0	0
1700096K18Rik	-0.371800215	-0.338939523	-0.032860692
1700097N02Rik	-0.159312093	-0.017367295	-0.141944798
1700101E01Rik	0.139970242	0.126826393	0.013143849
1700101I11Rik	-0.08628428	0.09430871	-0.18059299
1700102H20Rik	-0.076641949	-0.13286936	0.056227412
1700102P08Rik	-0.082480866	-0.211976144	0.129495278
1700106J16Rik	0	0	0
1700106N22Rik	0	0	0
1700108F19Rik	0	0	0
1700108J01Rik	0	0	0
1700108M19Rik	0	0	0
1700109F18Rik	0	0	0
1700109G14Rik	0	0	0
1700109H08Rik	-0.011138438	-0.135547142	0.124408703
1700110I01Rik	0	0	0
1700110M21Rik	0	0	0
1700111N16Rik	0	0	0
1700112E06Rik	0.309027161	0.341398646	-0.032371486
1700112H15Rik	-0.567899072	-0.159915446	-0.407983626
1700113A16Rik	-0.569421973	-0.439723395	-0.129698579
1700113H08Rik	0	0	0
1700113I22Rik	0	0	0
1700120C14Rik	-0.087177543	0.001443079	-0.088620622
1700120K04Rik	0.022697327	-0.148442318	0.171139645
1700122O11Rik	0.017833559	-0.117626541	0.1354601
1700123I01Rik	0	0	0
1700123K08Rik	0	0	0
1700123L14Rik	0	0	0
1700123M08Rik	-0.242739302	0.432509433	-0.675248734
1700123O20Rik	-0.02581807	-0.101924398	0.076106329
1700124L16Rik	0.117727236	0.031640667	0.086086569
1700125D06Rik	0	0	0
1700125H20Rik	0	0	0
1700128F08Rik	0	0	0
1700129C05Rik	0	0	0
1810006J02Rik	0.240053329	0.261944054	-0.021890725
1810006K21Rik	0	0	0
1810008A18Rik	0	0	0
1810009A15Rik	0.025966748	0.037155992	-0.011189243
1810009J06Rik	0.152591934	0.137654639	0.014937295
1810010D01Rik	-0.041556386	-0.07969797	0.038141584
1810010H24Rik	-0.610327936	-0.554869962	-0.055457973
1810011H11Rik	0.017833559	-0.117626541	0.1354601
1810011O10Rik	0	0	0
1810012K16Rik	-0.138403538	0.011297285	-0.149700823
1810012P15Rik	0	0	0
1810013A23Rik	0.024596175	-0.164130954	0.188727129
1810013D10Rik	0	0	0
1810013L24Rik	-0.047308082	-0.132655522	0.085347441
1810014B01Rik	0.138646809	0.2655113	-0.126864491
1810014F10Rik	0	0	0
1810019D21Rik	-0.087819432	-0.161733543	0.073914112
1810019J16Rik	0	0	0
1810020D17Rik	0	0	0
1810020O05Rik	0.232429325	-0.140390006	0.372819331
1810021B22Rik	-0.106974048	-0.121931249	0.014957202
1810022K09Rik	0.256998251	-0.490763402	0.747761653
1810024B03Rik	-0.457252102	-0.23152768	-0.225724422
1810026B05Rik	-1.018228532	-1.7468016	0.728573068
1810026J23Rik	-0.198553867	-0.038124597	-0.16042927
1810027O10Rik	0	0	0
1810029B16Rik	0	0	0
1810030N24Rik	0	0	0
1810030O07Rik	0.200203846	0.076497558	0.123706289
1810031K17Rik	0	0	0
1810032O08Rik	-0.430944267	-1.347571529	0.916627262
1810033B17Rik	0	0	0
1810034E14Rik	-0.672588429	-0.626420559	-0.04616787
1810035L17Rik	0	0	0
1810037I17Rik	-0.639542643	-0.935145292	0.295602648
1810041L15Rik	0	0	0
1810043G02Rik	0.270886902	-0.109423763	0.380310665
1810043H04Rik	0.708000194	0.551032029	0.156968165
1810044D09Rik	-0.310345901	-0.484259358	0.173913458
1810046J19Rik	0	0	0
1810046K07Rik	0	0	0
1810048J11Rik	0	0	0
1810049H13Rik	0	0	0
1810055G02Rik	0.410187107	0.006398317	0.40378879
1810058I24Rik	-0.579144184	-0.686106568	0.106962384
1810062G17Rik	-0.618620416	-0.10554456	-0.513075856
1810062O18Rik	0	0	0
1810063B05Rik	0	0	0
1810063B07Rik	0	0	0
1810064F22Rik	0	0	0
1810074P20Rik	0	0	0
2010001E11Rik	0	0	0
2010001M06Rik	0	0	0
2010001M09Rik	0	0	0
2010002M12Rik	0	0	0
2010002N04Rik	0	0	0
2010003K15Rik	0	0	0
2010005H15Rik	-0.522018686	-0.742534459	0.220515773
2010007H12Rik	0	0	0
2010010A06Rik	-0.16356567	-0.115321262	-0.048244408
2010011I20Rik	0	0	0
2010012O05Rik	-0.018789109	-0.625528216	0.606739107
2010015L04Rik	0.081843725	-0.19705481	0.278898534
2010016I18Rik	0.252038859	-0.877586626	1.129625485
2010106G01Rik	0	0	0
2010107E04Rik	0.143986459	-0.003467441	0.1474539
2010107G12Rik	0.12437566	0.051734494	0.072641166
2010107G23Rik	-0.076287322	-0.758611184	0.682323861
2010107H07Rik	0	0	0
2010109A12Rik	-0.083384149	-0.045704102	-0.037680047
2010109I03Rik	0.112253277	0.14835058	-0.036097303
2010109K11Rik	0	0	0
2010110P09Rik	0	0	0
2010111I01Rik	-0.483115804	-0.240544409	-0.242571395
2010204K13Rik	-0.712132682	0.186989611	-0.899122294
2010300C02Rik	0.251063824	0.07658912	0.174474704
2010305A19Rik	0	0	0
2010308F09Rik	0.015348202	-0.103254199	0.118602401
2010310C07Rik	0.017833559	-0.117626541	0.1354601
2010315B03Rik	-0.046829283	0.086228111	-0.133057394
2010317E24Rik	0	0	0
2010320M18Rik	0.220524196	0.434255481	-0.213731285
2010321M09Rik	0	0	0
2200002D01Rik	0.066129076	0.11381982	-0.047690744
2200002J24Rik	0	0	0
2200002K05Rik	0	0	0
2210009G21Rik	0	0	0
2210010C04Rik	-0.087177543	0.001443079	-0.088620622
2210010C17Rik	0	0	0
2210011C24Rik	-0.555719925	-1.131529206	0.575809281
2210012G02Rik	0	0	0
2210013O21Rik	-0.175388181	-0.517674636	0.342286454
2210015D19Rik	0.418836706	0.170956023	0.247880683
2210016F16Rik	-0.113330252	0.561097641	-0.674427893
2210016L21Rik	0.197469765	-0.219056486	0.416526251
2210018M11Rik	-0.542854259	-1.030617454	0.487763195
2210020M01Rik	0	0	0
2210021J22Rik	0	0	0
2210039B01Rik	-0.041556386	-0.07969797	0.038141584
2210403K04Rik	0	0	0
2210404J11Rik	0	0	0
2210404O07Rik	0	0	0
2210404O09Rik	0.049032715	-0.014639272	0.063671986
2210408F21Rik	-0.089252169	-0.177856499	0.088604331
2210408I21Rik	0.46147601	0.423584894	0.037891116
2210409E12Rik	0	0	0
2210411K11Rik	0	0	0
2210417A02Rik	-0.087177543	0.001443079	-0.088620622
2210417K05Rik	0	0	0
2300003K06Rik	0	0	0
2300005B03Rik	0.022697327	-0.148442318	0.171139645
2300009A05Rik	0.055064009	-0.353348714	0.408412723
2310001A20Rik	0	0	0
2310001H17Rik	-1.155180936	-0.789979686	-0.36520125
2310001K24Rik	0	0	0
2310002F09Rik	0.024596175	-0.164130954	0.188727129
2310002J15Rik	0	0	0
2310003C23Rik	0	0	0
2310003F16Rik	0	0	0
2310003H01Rik	-0.368177416	-0.399211416	0.031034
2310003L22Rik	0	0	0
2310004I24Rik	0	0	0
2310004N24Rik	0	0	0
2310005G13Rik	0	0	0
2310007B03Rik	0	0	0
2310007L24Rik	-0.049283467	-0.066077103	0.016793636
2310008H04Rik	0	0	0
2310008H09Rik	0	0	0
2310008N11Rik	0.022697327	-0.148442318	0.171139645
2310009A05Rik	-0.583688676	-0.277459304	-0.306229373
2310009B15Rik	0.160398987	-0.082903577	0.243302564
2310010J17Rik	0.136317622	-0.737573696	0.873891318
2310010M20Rik	0	0	0
2310011J03Rik	-0.069159372	-0.146007398	0.076848026
2310014H01Rik	0	0	0
2310014L17Rik	0.017833559	-0.117626541	0.1354601
2310015A10Rik	-0.213914959	-0.261274357	0.047359397
2310015B20Rik	0	0	0
2310015D24Rik	0	0	0
2310016C08Rik	0	0	0
2310016M24Rik	0	0	0
2310020H05Rik	0.143529895	0.126978759	0.016551136
2310021P13Rik	0	0	0
2310022A10Rik	0.123416155	0.143218032	-0.019801877
2310022B05Rik	-0.797945562	-1.073785415	0.275839853
2310028H24Rik	0	0	0
2310028O11Rik	0	0	0
2310030G06Rik	0.017833559	-0.117626541	0.1354601
2310030N02Rik	0	0	0
2310033E01Rik	0	0	0
2310033P09Rik	-0.245553656	-0.979876518	0.734322862
2310034G01Rik	-0.032697684	-0.246483936	0.213786252
2310035C23Rik	-0.284033489	-0.118399582	-0.165633907
2310035K24Rik	0	0	0
2310036O22Rik	-0.099983507	0.002248751	-0.102232258
2310037I24Rik	0	0	0
2310039H08Rik	-0.331906473	-0.361769723	0.02986325
2310040G24Rik	-0.453505411	0.031241586	-0.484746997
2310042D19Rik	0	0	0
2310042E22Rik	0	0	0
2310043J07Rik	0	0	0
2310043L19Rik	0	0	0
2310044G17Rik	0	0	0
2310044H10Rik	0	0	0
2310045N01Rik	-0.18918846	-0.138895624	-0.050292836
2310046K01Rik	0	0	0
2310046O06Rik	0	0	0
2310047B19Rik	0	0	0
2310047M10Rik	-0.333322614	-0.536932674	0.20361006
2310050B05Rik	0	0	0
2310057J16Rik	0	0	0
2310057J18Rik	0	0	0
2310057M21Rik	0.331987622	0.476309801	-0.144322179
2310061C15Rik	0	0	0
2310061I04Rik	0.212305941	-0.122712312	0.335018253
2310061J03Rik	-0.333291002	-0.154866054	-0.178424948
2310061N02Rik	0	0	0
2310067B10Rik	-0.11169833	-0.047793876	-0.063904454
2310068J16Rik	0.024596175	-0.164130954	0.188727129
2310069B03Rik	-0.087177543	0.001443079	-0.088620622
2310079F23Rik	0	0	0
2400001E08Rik	0	0	0
2400003C14Rik	0	0	0
2410001C21Rik	0	0	0
2410002F23Rik	-0.341103938	-0.491818659	0.150714721
2410002I01Rik	0	0	0
2410002O22Rik	0	0	0
2410003K15Rik	0	0	0
2410003L11Rik	0.027070853	-0.010466468	0.037537321
2410004A20Rik	0	0	0
2410004B18Rik	-0.320119616	-0.259468318	-0.060651298
2410004I01Rik	0	0	0
2410004N09Rik	0.04145367	-0.573372683	0.614826353
2410004P03Rik	-0.80240134	-0.635911895	-0.166489445
2410006H16Rik	0.554085776	-0.214665846	0.768751622
2410012M07Rik	0	0	0
2410015M20Rik	0.327467669	0.355650799	-0.02818313
2410016O06Rik	0.115630716	0.421034643	-0.305403927
2410017I17Rik	-0.05816873	0.042672792	-0.100841521
2410017P09Rik	0	0	0
2410018L13Rik	0	0	0
2410018M08Rik	0	0	0
2410022L05Rik	0	0	0
2410042D21Rik	0	0	0
2410066E13Rik	0	0	0
2410075B13Rik	0	0	0
2410076I21Rik	0.024596175	-0.164130954	0.188727129
2410088K16Rik	0.017833559	-0.117626541	0.1354601
2410089E03Rik	-0.351045646	-0.111839458	-0.239206188
2410091C18Rik	0	0	0
2410127L17Rik	0.412597847	-0.039168489	0.451766336
2410131K14Rik	0.215105358	-0.098376406	0.313481764
2410137F16Rik	0	0	0
2410137M14Rik	0	0	0
2500003M10Rik	0	0	0
2500004C02Rik	0.029216665	0.228852965	-0.199636299
2510002D24Rik	0.084664755	-0.856604969	0.941269723
2510003E04Rik	-0.3429127	-0.503395587	0.160482887
2510006D16Rik	0	0	0
2510009E07Rik	-0.219156419	-0.884994503	0.665838085
2510012J08Rik	0	0	0
2510039O18Rik	-0.250321636	-0.165809299	-0.084512337
2510049J12Rik	0.163301326	0.094343518	0.068957808
2610001J05Rik	-0.112579472	-0.068063461	-0.044516011
2610002D18Rik	0	0	0
2610002I17Rik	0	0	0
2610002J02Rik	-0.500640398	-0.398912396	-0.101728002
2610002M06Rik	0.585001772	0.471402306	0.113599466
2610005L07Rik	0.106993353	0.227146913	-0.12015356
2610008E11Rik	0.49358036	-0.129853175	0.623433535
2610015P09Rik	-0.170336467	-1.143336684	0.973000217
2610018G03Rik	-0.173833129	-0.045458818	-0.128374311
2610019F03Rik	0	0	0
2610020C07Rik	-0.456243808	-0.367964872	-0.088278935
2610020H08Rik	-0.187707393	-0.632460239	0.444752846
2610021K21Rik	0	0	0
2610024G14Rik	0	0	0
2610027L16Rik	0	0	0
2610028E06Rik	0.018534594	0.100257858	-0.081723264
2610028H24Rik	0.017833559	-0.117626541	0.1354601
2610029G23Rik	0	0	0
2610029I01Rik	0	0	0
2610034B18Rik	-0.098751043	-0.162199608	0.063448565
2610034M16Rik	0	0	0
2610035D17Rik	0.232535355	-0.337315003	0.569850358
2610035F20Rik	0.022697327	-0.148442318	0.171139645
2610037D02Rik	0.431584963	-0.218212523	0.649797486
2610039C10Rik	0	0	0
2610044O15Rik	0	0	0
2610044O15Rik8	0.363422796	0.071265441	0.292157355
2610101N10Rik	0	0	0
2610109H07Rik	0	0	0
2610203C20Rik	0	0	0
2610203C22Rik	-0.114569913	0.005085706	-0.119655619
2610204G22Rik	0	0	0
2610206C17Rik	-0.490422354	-0.083557316	-0.406865038
2610301B20Rik	0.157189036	-0.090667414	0.24785645
2610301G19Rik	0	0	0
2610305D13Rik	-0.087177543	0.001443079	-0.088620622
2610306M01Rik	0.131496146	0.841298874	-0.709802728
2610307P16Rik	0.457884334	0.361345231	0.096539103
2610318N02Rik	-0.030417556	0.08487798	-0.115295536
2610507B11Rik	-0.048023608	0.383630214	-0.431653822
2610507I01Rik	-0.050381368	0.505749982	-0.55613135
2610524H06Rik	0.209507637	0.131898236	0.077609401
2610528A11Rik	-1.236328417	-0.751876661	-0.484451756
2610528E23Rik	0	0	0
2700007P21Rik	0	0	0
2700023E23Rik	0	0	0
2700029M09Rik	0.405603072	0.640920353	-0.235317281
2700038G22Rik	-0.206245993	-0.033722224	-0.172523769
2700046A07Rik	0	0	0
2700046G09Rik	-0.0287347	-0.004582996	-0.024151704
2700049A03Rik	0.291221672	-0.035040882	0.326262554
2700050L05Rik	0	0	0
2700060E02Rik	0.241251768	-0.280796203	0.522047972
2700062C07Rik	0.137570116	0.165476167	-0.027906051
2700078E11Rik	0	0	0
2700078K21Rik	0	0	0
2700081O15Rik	0.28286436	0.144035255	0.138829106
2700086A05Rik	0.163301326	0.094343518	0.068957808
2700089E24Rik	0.037796691	0.315268485	-0.277471794
2700089I24Rik	-0.114569913	0.005085706	-0.119655619
